problem_statement,problem_tags,contestId,index,name,type,points,rating
2074D - Counting Points,"brute force,data structures,geometry,implementation,two pointers",2074,D,Counting Points,PROGRAMMING,,1400.0
2074C - XOR and Triangle,"bitmasks,brute force,geometry,greedy,probabilities",2074,C,XOR and Triangle,PROGRAMMING,,1100.0
2074B - The Third Side,"geometry,greedy,math",2074,B,The Third Side,PROGRAMMING,,800.0
2074A - Draw a Square,"geometry,implementation",2074,A,Draw a Square,PROGRAMMING,,800.0
2073M - Can You Reach There?,,2073,M,Can You Reach There?,PROGRAMMING,,3300.0
2073L - Boarding Queue,,2073,L,Boarding Queue,PROGRAMMING,,1300.0
2073K - Book Sorting,,2073,K,Book Sorting,PROGRAMMING,,2900.0
2073J - Gathering Sharks,,2073,J,Gathering Sharks,PROGRAMMING,,2000.0
2073I - Squares on Grid Lines,,2073,I,Squares on Grid Lines,PROGRAMMING,,3100.0
2073H - Secret Lilies and Roses,interactive,2073,H,Secret Lilies and Roses,PROGRAMMING,,2700.0
2073G - Corrupted File,,2073,G,Corrupted File,PROGRAMMING,,2200.0
2073F - Hold the Star,,2073,F,Hold the Star,PROGRAMMING,,3500.0
2073E - Minus Operator,interactive,2073,E,Minus Operator,PROGRAMMING,,3300.0
2073D - Tower of Hanoi,,2073,D,Tower of Hanoi,PROGRAMMING,,2400.0
2073C - Cactus Connectivity,,2073,C,Cactus Connectivity,PROGRAMMING,,2700.0
2073B - Three-Dimensional Embedding,,2073,B,Three-Dimensional Embedding,PROGRAMMING,,3500.0
2073A - Control Towers,,2073,A,Control Towers,PROGRAMMING,,1900.0
2072G - I've Been Flipping Numbers for 300 Years and Calculated the Sum,"binary search,brute force,combinatorics,divide and conquer,math,number theory",2072,G,I've Been Flipping Numbers for 300 Years and Calculated the Sum,PROGRAMMING,,2200.0
"2072F - Goodbye, Banker Life","2-sat,bitmasks,combinatorics,constructive algorithms,fft,math,number theory",2072,F,"Goodbye, Banker Life",PROGRAMMING,,1700.0
2072E - Do You Love Your Hero and His Two-Hit Multi-Target Attacks?,"binary search,brute force,constructive algorithms,dp,geometry,greedy,math",2072,E,Do You Love Your Hero and His Two-Hit Multi-Target Attacks?,PROGRAMMING,,1500.0
"2072D - For Wizards, the Exam Is Easy, but I Couldn't Handle It","brute force,greedy,implementation",2072,D,"For Wizards, the Exam Is Easy, but I Couldn't Handle It",PROGRAMMING,,1300.0
2072C - Creating Keys for StORages Has Become My Main Skill,"bitmasks,constructive algorithms,greedy",2072,C,Creating Keys for StORages Has Become My Main Skill,PROGRAMMING,,1200.0
"2072B - Having Been a Treasurer in the Past, I Help Goblins Deceive","combinatorics,constructive algorithms,strings",2072,B,"Having Been a Treasurer in the Past, I Help Goblins Deceive",PROGRAMMING,,900.0
"2072A - New World, New Me, New Array","greedy,implementation,math",2072,A,"New World, New Me, New Array",PROGRAMMING,,800.0
2071F - Towering Arrays,"binary search,data structures",2071,F,Towering Arrays,PROGRAMMING,3000.0,2700.0
2071E - LeaFall,"combinatorics,dp,probabilities,trees",2071,E,LeaFall,PROGRAMMING,2500.0,2600.0
2071D2 - Infinite Sequence (Hard Version),"bitmasks,brute force,constructive algorithms,data structures,dp,implementation,math",2071,D2,Infinite Sequence (Hard Version),PROGRAMMING,1250.0,2500.0
2071D1 - Infinite Sequence (Easy Version),"bitmasks,brute force,dp,implementation,math",2071,D1,Infinite Sequence (Easy Version),PROGRAMMING,1750.0,1800.0
2071C - Trapmigiano Reggiano,"constructive algorithms,data structures,dfs and similar,dp,greedy,sortings,trees",2071,C,Trapmigiano Reggiano,PROGRAMMING,1500.0,1700.0
2071B - Perfecto,"brute force,constructive algorithms,greedy,math",2071,B,Perfecto,PROGRAMMING,1000.0,1100.0
2071A - The Play Never Ends,"math,number theory",2071,A,The Play Never Ends,PROGRAMMING,500.0,800.0
2070F - Friends and Pizza,"bitmasks,divide and conquer,dp,fft",2070,F,Friends and Pizza,PROGRAMMING,,3000.0
2070E - Game with Binary String,"constructive algorithms,data structures,divide and conquer,games,greedy,math",2070,E,Game with Binary String,PROGRAMMING,,2200.0
2070D - Tree Jumps,"dfs and similar,dp,trees",2070,D,Tree Jumps,PROGRAMMING,,1600.0
2070C - Limited Repainting,"binary search,greedy",2070,C,Limited Repainting,PROGRAMMING,,1500.0
2070B - Robot Program,"brute force,implementation,math",2070,B,Robot Program,PROGRAMMING,,1100.0
2070A - FizzBuzz Remixed,"brute force,math",2070,A,FizzBuzz Remixed,PROGRAMMING,,800.0
2069F - Graph Inclusion,"data structures,dfs and similar,divide and conquer,dsu,graphs",2069,F,Graph Inclusion,PROGRAMMING,,2800.0
"2069E - A, B, AB and BA","constructive algorithms,greedy,sortings,strings",2069,E,"A, B, AB and BA",PROGRAMMING,,2300.0
2069D - Palindrome Shuffle,"binary search,greedy,hashing,strings,two pointers",2069,D,Palindrome Shuffle,PROGRAMMING,,1800.0
2069C - Beautiful Sequence,"combinatorics,dp,greedy,two pointers",2069,C,Beautiful Sequence,PROGRAMMING,,1500.0
2069B - Set of Strangers,"greedy,matrices",2069,B,Set of Strangers,PROGRAMMING,,1200.0
2069A - Was there an Array?,"graph matchings,greedy",2069,A,Was there an Array?,PROGRAMMING,,800.0
2068K - Amusement Park Rides,"flows,graphs",2068,K,Amusement Park Rides,PROGRAMMING,,3000.0
2068J - The Ultimate Wine Tasting Event,"combinatorics,greedy",2068,J,The Ultimate Wine Tasting Event,PROGRAMMING,,2000.0
2068I - Pinball,"graphs,shortest paths",2068,I,Pinball,PROGRAMMING,,3500.0
2068H - Statues,"constructive algorithms,greedy,math",2068,H,Statues,PROGRAMMING,,2700.0
2068G - A Very Long Hike,shortest paths,2068,G,A Very Long Hike,PROGRAMMING,,3500.0
2068F - Mascot Naming,"brute force,greedy,implementation,strings",2068,F,Mascot Naming,PROGRAMMING,,1900.0
2068E - Porto Vs. Benfica,"data structures,dfs and similar,dsu,graphs,shortest paths",2068,E,Porto Vs. Benfica,PROGRAMMING,,2800.0
2068D - Morse Code,"dp,sortings,trees",2068,D,Morse Code,PROGRAMMING,,3100.0
2068C - Ads,"binary search,greedy,two pointers",2068,C,Ads,PROGRAMMING,,2100.0
2068B - Urban Planning,constructive algorithms,2068,B,Urban Planning,PROGRAMMING,,3100.0
2068A - Condorcet Elections,"constructive algorithms,graphs,greedy,probabilities",2068,A,Condorcet Elections,PROGRAMMING,,2300.0
2067C - Devyatkino,"brute force,dfs and similar,greedy,math",2067,C,Devyatkino,PROGRAMMING,1250.0,1500.0
2067B - Two Large Bags,"brute force,dp,greedy,sortings",2067,B,Two Large Bags,PROGRAMMING,1000.0,1200.0
2067A - Adjacent Digit Sums,"brute force,constructive algorithms,math",2067,A,Adjacent Digit Sums,PROGRAMMING,500.0,800.0
2066F - Curse,"constructive algorithms,dp,math",2066,F,Curse,PROGRAMMING,3000.0,3300.0
2066E - Tropical Season,"binary search,data structures,greedy,implementation",2066,E,Tropical Season,PROGRAMMING,2000.0,3300.0
2066D2 - Club of Young Aircraft Builders (hard version),"combinatorics,dp,math",2066,D2,Club of Young Aircraft Builders (hard version),PROGRAMMING,1250.0,2900.0
2066D1 - Club of Young Aircraft Builders (easy version),"combinatorics,dp,math",2066,D1,Club of Young Aircraft Builders (easy version),PROGRAMMING,750.0,2400.0
2066C - Bitwise Slides,"bitmasks,combinatorics,dp,math",2066,C,Bitwise Slides,PROGRAMMING,1250.0,2300.0
2066B - White Magic,"constructive algorithms,data structures,dp,greedy,implementation",2066,B,White Magic,PROGRAMMING,750.0,1900.0
2066A - Object Identification,"graphs,greedy,implementation,interactive",2066,A,Object Identification,PROGRAMMING,750.0,1400.0
2065H - Bro Thinks He's Him,"combinatorics,data structures,divide and conquer,dp,math,matrices",2065,H,Bro Thinks He's Him,PROGRAMMING,,2200.0
2065G - Skibidus and Capping,"combinatorics,math,number theory",2065,G,Skibidus and Capping,PROGRAMMING,,1700.0
2065F - Skibidus and Slay,"data structures,dfs and similar,graphs,greedy,trees",2065,F,Skibidus and Slay,PROGRAMMING,,1700.0
2065E - Skibidus and Rizz,"constructive algorithms,greedy,strings",2065,E,Skibidus and Rizz,PROGRAMMING,,1600.0
2065D - Skibidus and Sigma,"greedy,sortings",2065,D,Skibidus and Sigma,PROGRAMMING,,1200.0
2065C2 - Skibidus and Fanum Tax (hard version),"binary search,greedy",2065,C2,Skibidus and Fanum Tax (hard version),PROGRAMMING,,1300.0
2065C1 - Skibidus and Fanum Tax (easy version),"binary search,dp,greedy",2065,C1,Skibidus and Fanum Tax (easy version),PROGRAMMING,,1100.0
2065B - Skibidus and Ohio,strings,2065,B,Skibidus and Ohio,PROGRAMMING,,800.0
2065A - Skibidus and Amog'u,"brute force,constructive algorithms,greedy,implementation,strings",2065,A,Skibidus and Amog'u,PROGRAMMING,,800.0
2064F - We Be Summing,"binary search,data structures,dp,two pointers",2064,F,We Be Summing,PROGRAMMING,2750.0,2600.0
2064E - Mycraft Sand Sort,"combinatorics,data structures,dsu,greedy,math,sortings",2064,E,Mycraft Sand Sort,PROGRAMMING,2250.0,2400.0
2064D - Eating,"binary search,bitmasks,brute force,data structures,dp,greedy,trees,two pointers",2064,D,Eating,PROGRAMMING,1750.0,1900.0
2064C - Remove the Ends,"brute force,constructive algorithms,dp,greedy",2064,C,Remove the Ends,PROGRAMMING,1250.0,1300.0
2064B - Variety is Discouraged,"binary search,constructive algorithms,greedy,two pointers",2064,B,Variety is Discouraged,PROGRAMMING,1000.0,1100.0
2064A - Brogramming Contest,"greedy,strings",2064,A,Brogramming Contest,PROGRAMMING,500.0,800.0
2063F2 - Counting Is Not Fun (Hard Version),"combinatorics,data structures,dfs and similar,dsu,graphs,implementation,trees",2063,F2,Counting Is Not Fun (Hard Version),PROGRAMMING,1500.0,2700.0
2063F1 - Counting Is Not Fun (Easy Version),"combinatorics,data structures,dfs and similar,dp,dsu,graphs,hashing,implementation,math,trees",2063,F1,Counting Is Not Fun (Easy Version),PROGRAMMING,1750.0,2400.0
2063E - Triangle Tree,"data structures,dfs and similar,dp,greedy,trees",2063,E,Triangle Tree,PROGRAMMING,2750.0,2300.0
2063D - Game With Triangles,"binary search,brute force,data structures,geometry,greedy,implementation,math,ternary search,two pointers",2063,D,Game With Triangles,PROGRAMMING,2250.0,2000.0
2063C - Remove Exactly Two,"brute force,data structures,dfs and similar,dp,graphs,greedy,sortings,trees",2063,C,Remove Exactly Two,PROGRAMMING,1500.0,1600.0
2063B - Subsequence Update,"constructive algorithms,data structures,greedy,sortings",2063,B,Subsequence Update,PROGRAMMING,1000.0,1100.0
2063A - Minimal Coprime,"math,number theory",2063,A,Minimal Coprime,PROGRAMMING,500.0,800.0
2062H - Galaxy Generator,"bitmasks,combinatorics,dp",2062,H,Galaxy Generator,PROGRAMMING,4500.0,3500.0
2062G - Permutation Factory,"flows,geometry,graph matchings,graphs",2062,G,Permutation Factory,PROGRAMMING,4000.0,3500.0
2062F - Traveling Salescat,"constructive algorithms,dp,geometry,graphs,greedy,math,sortings",2062,F,Traveling Salescat,PROGRAMMING,3500.0,2900.0
2062E2 - The Game (Hard Version),"data structures,dfs and similar,games,graphs,implementation,trees",2062,E2,The Game (Hard Version),PROGRAMMING,2500.0,3000.0
2062E1 - The Game (Easy Version),"data structures,dfs and similar,games,graphs,greedy,trees",2062,E1,The Game (Easy Version),PROGRAMMING,1500.0,2000.0
2062D - Balanced Tree,"dfs and similar,dp,graphs,greedy,trees",2062,D,Balanced Tree,PROGRAMMING,2000.0,2200.0
2062C - Cirno and Operations,"brute force,math",2062,C,Cirno and Operations,PROGRAMMING,1000.0,1200.0
2062B - Clockwork,"greedy,math",2062,B,Clockwork,PROGRAMMING,1000.0,900.0
2062A - String,"constructive algorithms,greedy,math,strings",2062,A,String,PROGRAMMING,500.0,800.0
2061I - Kevin and Nivek,"divide and conquer,dp",2061,I,Kevin and Nivek,PROGRAMMING,4500.0,3500.0
2061H2 - Kevin and Stones (Hard Version),"flows,graphs",2061,H2,Kevin and Stones (Hard Version),PROGRAMMING,5000.0,3500.0
2061H1 - Kevin and Stones (Easy Version),"flows,graph matchings,graphs",2061,H1,Kevin and Stones (Easy Version),PROGRAMMING,3000.0,3500.0
2061G - Kevin and Teams,"constructive algorithms,graphs,interactive",2061,G,Kevin and Teams,PROGRAMMING,3000.0,2900.0
2061F2 - Kevin and Binary String (Hard Version),"data structures,dp",2061,F2,Kevin and Binary String (Hard Version),PROGRAMMING,2000.0,3500.0
2061F1 - Kevin and Binary String (Easy Version),"greedy,implementation",2061,F1,Kevin and Binary String (Easy Version),PROGRAMMING,2000.0,2100.0
2061E - Kevin and And,"bitmasks,brute force,dp,greedy,math,sortings",2061,E,Kevin and And,PROGRAMMING,2000.0,2000.0
2061D - Kevin and Numbers,"bitmasks,data structures",2061,D,Kevin and Numbers,PROGRAMMING,1500.0,1600.0
2061C - Kevin and Puzzle,"2-sat,combinatorics,dp",2061,C,Kevin and Puzzle,PROGRAMMING,1500.0,1600.0
2061B - Kevin and Geometry,"binary search,geometry",2061,B,Kevin and Geometry,PROGRAMMING,1000.0,1100.0
2061A - Kevin and Arithmetic,math,2061,A,Kevin and Arithmetic,PROGRAMMING,500.0,800.0
2060G - Bugged Sort,"dp,greedy,sortings",2060,G,Bugged Sort,PROGRAMMING,,2400.0
2060F - Multiplicative Arrays,"combinatorics,dp,number theory",2060,F,Multiplicative Arrays,PROGRAMMING,,2200.0
2060E - Graph Composition,"dfs and similar,dsu,graphs,greedy",2060,E,Graph Composition,PROGRAMMING,,1500.0
2060D - Subtract Min Sort,greedy,2060,D,Subtract Min Sort,PROGRAMMING,,1100.0
2060C - Game of Mathletes,"games,greedy,sortings,two pointers",2060,C,Game of Mathletes,PROGRAMMING,,900.0
2060B - Farmer John's Card Game,"greedy,sortings",2060,B,Farmer John's Card Game,PROGRAMMING,,1000.0
2060A - Fibonacciness,brute force,2060,A,Fibonacciness,PROGRAMMING,,800.0
2059E2 - Stop Gaming (Hard Version),"brute force,constructive algorithms,data structures,hashing,strings",2059,E2,Stop Gaming (Hard Version),PROGRAMMING,1500.0,2900.0
2059E1 - Stop Gaming (Easy Version),"brute force,constructive algorithms,greedy,hashing,strings",2059,E1,Stop Gaming (Easy Version),PROGRAMMING,1500.0,2500.0
2059D - Graph and Graph,"data structures,graphs,greedy,shortest paths",2059,D,Graph and Graph,PROGRAMMING,2000.0,1900.0
2059C - Customer Service,"brute force,constructive algorithms,graph matchings,greedy,math,sortings",2059,C,Customer Service,PROGRAMMING,1500.0,1600.0
2059B - Cost of the Array,"brute force,constructive algorithms,greedy,math",2059,B,Cost of the Array,PROGRAMMING,1000.0,1300.0
2059A - Milya and Two Arrays,"constructive algorithms,greedy,sortings",2059,A,Milya and Two Arrays,PROGRAMMING,500.0,800.0
2057H - Coffee Break,"data structures,greedy,math",2057,H,Coffee Break,PROGRAMMING,4500.0,3500.0
2057G - Secret Message,"constructive algorithms,dfs and similar,math",2057,G,Secret Message,PROGRAMMING,3750.0,3000.0
2057F - Formation,"binary search,data structures,dp,sortings,two pointers",2057,F,Formation,PROGRAMMING,3500.0,3300.0
2057E2 - Another Exercise on Graphs (hard version),"binary search,dfs and similar,dp,dsu,graphs,shortest paths,sortings",2057,E2,Another Exercise on Graphs (hard version),PROGRAMMING,2000.0,2500.0
2057E1 - Another Exercise on Graphs (Easy Version),"binary search,brute force,dp,dsu,graphs,shortest paths,sortings",2057,E1,Another Exercise on Graphs (Easy Version),PROGRAMMING,1000.0,2300.0
2057D - Gifts Order,"data structures,greedy,implementation,math,matrices",2057,D,Gifts Order,PROGRAMMING,2250.0,2000.0
2057C - Trip to the Olympiad,"bitmasks,constructive algorithms,greedy,math",2057,C,Trip to the Olympiad,PROGRAMMING,1500.0,1500.0
2057B - Gorilla and the Exam,"greedy,sortings",2057,B,Gorilla and the Exam,PROGRAMMING,1000.0,1000.0
2057A - MEX Table,"constructive algorithms,math",2057,A,MEX Table,PROGRAMMING,500.0,800.0
2056F2 - Xor of Median (Hard Version),"bitmasks,brute force,combinatorics,dp,math",2056,F2,Xor of Median (Hard Version),PROGRAMMING,1250.0,3000.0
2056F1 - Xor of Median (Easy Version),"bitmasks,brute force,combinatorics,dp,math",2056,F1,Xor of Median (Easy Version),PROGRAMMING,2750.0,2700.0
2056E - Nested Segments,"combinatorics,dfs and similar,dp,dsu,math",2056,E,Nested Segments,PROGRAMMING,2250.0,2500.0
2056D - Unique Median,"binary search,brute force,combinatorics,data structures,divide and conquer,dp",2056,D,Unique Median,PROGRAMMING,2000.0,2200.0
2056C - Palindromic Subsequences,"brute force,constructive algorithms,math",2056,C,Palindromic Subsequences,PROGRAMMING,1500.0,1200.0
2056B - Find the Permutation,"brute force,dfs and similar,graphs,implementation,sortings",2056,B,Find the Permutation,PROGRAMMING,1250.0,1300.0
2056A - Shape Perimeter,"constructive algorithms,math",2056,A,Shape Perimeter,PROGRAMMING,500.0,800.0
2055F - Cosmic Divide,"brute force,geometry,hashing,math,strings",2055,F,Cosmic Divide,PROGRAMMING,3500.0,3200.0
2055E - Haystacks,"brute force,constructive algorithms,data structures,greedy,sortings",2055,E,Haystacks,PROGRAMMING,3000.0,2800.0
2055D - Scarecrow,"greedy,implementation,math",2055,D,Scarecrow,PROGRAMMING,2250.0,2000.0
2055C - The Trail,"brute force,constructive algorithms,greedy,math,two pointers",2055,C,The Trail,PROGRAMMING,1500.0,1400.0
2055B - Crafting,"constructive algorithms,greedy,sortings",2055,B,Crafting,PROGRAMMING,1000.0,1000.0
2055A - Two Frogs,"constructive algorithms,games,greedy,math",2055,A,Two Frogs,PROGRAMMING,500.0,800.0
2053I2 - Affectionate Arrays (Hard Version),"data structures,dp,graphs,greedy,math,shortest paths,two pointers",2053,I2,Affectionate Arrays (Hard Version),PROGRAMMING,2000.0,3500.0
2053I1 - Affectionate Arrays (Easy Version),"data structures,dp,greedy",2053,I1,Affectionate Arrays (Easy Version),PROGRAMMING,3000.0,2800.0
2053H - Delicate Anti-monotonous Operations,"constructive algorithms,implementation",2053,H,Delicate Anti-monotonous Operations,PROGRAMMING,4500.0,3500.0
2053G - Naive String Splits,"binary search,brute force,greedy,hashing,math,number theory,strings",2053,G,Naive String Splits,PROGRAMMING,4250.0,3400.0
2053F - Earnest Matrix Complement,"brute force,data structures,dp,greedy,implementation,math",2053,F,Earnest Matrix Complement,PROGRAMMING,2500.0,2600.0
2053E - Resourceful Caterpillar Sequence,"dfs and similar,dp,games,graphs,greedy,trees",2053,E,Resourceful Caterpillar Sequence,PROGRAMMING,2000.0,1900.0
2053D - Refined Product Optimality,"binary search,data structures,greedy,math,schedules,sortings",2053,D,Refined Product Optimality,PROGRAMMING,1750.0,1700.0
2053C - Bewitching Stargazer,"bitmasks,divide and conquer,dp,math",2053,C,Bewitching Stargazer,PROGRAMMING,1250.0,1500.0
2053B - Outstanding Impressionist,"binary search,brute force,data structures,greedy",2053,B,Outstanding Impressionist,PROGRAMMING,1000.0,1200.0
2053A - Tender Carpenter,"dp,geometry,greedy,math",2053,A,Tender Carpenter,PROGRAMMING,500.0,800.0
2052M - Managing Cluster,"dp,graphs,math,trees",2052,M,Managing Cluster,PROGRAMMING,,2700.0
2052L - Legacy Screensaver,,2052,L,Legacy Screensaver,PROGRAMMING,,2900.0
2052K - Knowns and Unknowns,,2052,K,Knowns and Unknowns,PROGRAMMING,,2800.0
2052J - Judicious Watching,"binary search,greedy,sortings",2052,J,Judicious Watching,PROGRAMMING,,2000.0
2052I - Incompetent Delivery Guy,"graphs,shortest paths",2052,I,Incompetent Delivery Guy,PROGRAMMING,,2800.0
2052H - Hunting Hoglins in Hogwarts,interactive,2052,H,Hunting Hoglins in Hogwarts,PROGRAMMING,,3500.0
